"","id","name","popularity","followers.total","genres","type","total_num_songs","main_genre","degree","betweenness","eigenvector"
"3406","2ibPkysx2PXqWLmxFD7jSg","Stray Cats",53,204603,"instrumental surf;rock-and-roll;rockabilly","billboard",NA,"rock",0,0,1.22558992036057e-18
"3407","3tqosLbNFNekyZyO2KJ6qd","Mike Sherm",62,204542,"cali rap;west coast trap","non_billboard",NA,"hip hop, rap",1,0,0.00200513365761894
"3408","2P6ygesd9xg5DPOBnda2jg","Arvo Pärt",58,204346,"baltic classical;classical;contemporary classical;minimalism","non_billboard",NA,"other/unknown",1,0,5.48832263650168e-09
"3409","3DnNQH13SfSOjZDsVEa0ht","Liu",62,204176,"brazilian edm","non_billboard",NA,"edm, techno, house",1,0,0.00083265418868453
"3410","6PEMFpe3PTOksdV4ZXUpbE","NxWorries",56,204090,"hip hop;indie soul;underground hip hop","non_billboard",NA,"jazz, soul, r&b",1,0,0.00245688459488231
"3411","6cwlhbT6PnscdmUYCLUJsa","Bone Crusher",45,203979,"atl hip hop;crunk;dirty south rap;old school atlanta hip hop;pop rap;southern hip hop","non_billboard",NA,"hip hop, rap",4,1455.41253950127,0.0260628927867013
"3412","65OtBLtkrifQrdTlKI90IR","Elijah Blake",49,203927,"alternative r&b;indie r&b;pop r&b;trap soul","non_billboard",NA,"jazz, soul, r&b",4,144.235755964096,0.0251865434667418
"3413","1bdAJUX6JPsnYHbTl5jbk6","Joan Armatrading",54,203742,"country rock;folk;folk rock;lilith;mellow gold;new wave pop;singer-songwriter","non_billboard",NA,"country",1,0,6.66714206460192e-06
"3414","0yqDXjskTQI1nj9bH6W9Ze","Brooke Valentine",35,203427,"hip pop;pop r&b;r&b;urban contemporary","non_billboard",NA,"jazz, soul, r&b",2,0,0.0068374571439043
"3415","320TrJub4arztwXRm7kqVO","Dr. John",57,203373,"blues;blues rock;country rock;electric blues;folk rock;funk;jazz blues;louisiana blues;new orleans blues;piano blues;roots rock;soul","non_billboard",NA,"country",4,24954.1615781552,0.0011918884130839
"3416","7qYeIN2r4H1kBvr0Gm9Iav","Randy",74,203327,"latin;latin hip hop;perreo;reggaeton;reggaeton flow;trap latino","non_billboard",NA,"latin",2,0,0.00350248927652979
"3417","4MbmeIi7C8qe1LboVhdaUN","Lucía Méndez",58,202930,"ranchera","non_billboard",NA,"other/unknown",1,0,9.63084205825407e-06
