"","album_type","album_release_date","album_release_year","danceability","energy","key","speechiness","valence","tempo","track_id","artists","duration_ms","track_name","track_number","album_name","mode_name","key_mode","artist_ids","track_popularity"
"51","album","2019-06-28",2019,0.754,0.646,7,0.317,0.429,176.089,"0fea68AdmYNygeTGI4RC18","J Balvin;Bad Bunny",242573,"LA CANCIÓN",5,"OASIS","major","G major","1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",86
"52","album","2019-06-28",2019,0.627,0.675,5,0.213,0.961,79.31,"7hynhxDoDpgMIV12JuVtNa","J Balvin;Bad Bunny;Marciano Cantero",277106,"UN PESO",6,"OASIS","minor","F minor","1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X;5QzDzXfXC5lepOBeQXBiVO",78
"53","album","2019-06-28",2019,0.74,0.698,6,0.0388,0.529,139.99,"7alOsNr36sJ8CyOEP4aILq","J Balvin;Bad Bunny",270400,"ODIO",7,"OASIS","minor","F# minor","1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",69
"54","album","2019-06-28",2019,0.825,0.807,6,0.0949,0.816,103.053,"7knLcYCOSaURD0d7HUULFM","J Balvin;Bad Bunny;Mr Eazi",218826,"COMO UN BEBÉ",8,"OASIS","major","F# major","1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X;4TAoP0f9OuWZUesao43xUW",72
"55","album","2018-12-23",2018,0.826,0.449,5,0.0674,0.337,128.028,"278kSqsZIiYp8p3QjYAqa8","Bad Bunny",236215,"NI BIEN NI MAL",1,"X 100PRE","minor","F minor","4q3ewBCX7sLwd24euuV69X",77
"56","album","2018-12-23",2018,0.85,0.5,8,0.0665,0.816,160.02,"5jGUJXnELDaDTgiRjD9lsg","Bad Bunny;Diplo;Nitti Gritti",170509,"200 Mph",2,"X 100PRE","major","G# major","4q3ewBCX7sLwd24euuV69X;5fMUXHkw8R8eOP2RNVYEZX;21AUdblPrTRzkvJn8FGrlk",71
"57","album","2018-12-23",2018,0.727,0.58,2,0.136,0.325,137.048,"6kN06eEOblRAuWI0xUUS91","Bad Bunny",159228,"¿Quien Tu Eres?",3,"X 100PRE","minor","D minor","4q3ewBCX7sLwd24euuV69X",68
"58","album","2018-12-23",2018,0.651,0.575,0,0.299,0.248,160.007,"6it15CsDlkqB7N4lF0C1qM","Bad Bunny",229455,"Caro",4,"X 100PRE","major","C major","4q3ewBCX7sLwd24euuV69X",73
"59","album","2018-12-23",2018,0.855,0.512,11,0.0534,0.144,146.075,"5VQpJ2AY2iMzrRZKgcvNjh","Bad Bunny",224512,"Tenemos Que Hablar",5,"X 100PRE","major","B major","4q3ewBCX7sLwd24euuV69X",69
"60","album","2018-12-23",2018,0.514,0.646,1,0.275,0.297,88.661,"4vCAzANUWDE24URV6wQ4ra","Bad Bunny",233128,"Otra Noche en Miami",6,"X 100PRE","major","C# major","4q3ewBCX7sLwd24euuV69X",80
"61","album","2018-12-23",2018,0.785,0.626,4,0.0675,0.183,154.946,"4UEuIEv9Wc3wtiWUplGJ7q","Bad Bunny",193210,"Ser Bichote",7,"X 100PRE","minor","E minor","4q3ewBCX7sLwd24euuV69X",67
"62","album","2018-12-23",2018,0.672,0.594,1,0.0789,0.158,171.854,"35wvL50xvKpCHEJPxLOLPI","Bad Bunny",169247,"Si Estuviésemos Juntos",8,"X 100PRE","minor","C# minor","4q3ewBCX7sLwd24euuV69X",84
"63","album","2018-12-23",2018,0.743,0.73,10,0.125,0.15,179.972,"4uP3pUP18ennmz0tb3GphR","Bad Bunny",197967,"Solo de Mi",9,"X 100PRE","minor","A# minor","4q3ewBCX7sLwd24euuV69X",72
"64","album","2018-12-23",2018,0.787,0.705,0,0.0695,0.499,81.998,"5mj8WVFcKdGA8p9HWGTSLc","Bad Bunny",188654,"Cuando Perriabas",10,"X 100PRE","major","C major","4q3ewBCX7sLwd24euuV69X",69
"65","album","2018-12-23",2018,0.655,0.725,0,0.188,0.326,125.8,"1khmgu0pveJbkbpbkyvcQv","Bad Bunny;El Alfa",300579,"La Romana",11,"X 100PRE","major","C major","4q3ewBCX7sLwd24euuV69X;2oQX8QiMXOyuqbcZEFsZfm",76
"66","album","2018-12-23",2018,0.767,0.379,0,0.0385,0.252,103.956,"69ZaPBHhRMRDjRpW1ivnOU","Bad Bunny",230577,"Como Antes",12,"X 100PRE","major","C major","4q3ewBCX7sLwd24euuV69X",74
"67","album","2018-12-23",2018,0.6,0.528,0,0.0308,0.142,108.025,"6pZHZndlo57dPCYnvlYFOE","Bad Bunny",284852,"RLNDT",13,"X 100PRE","major","C major","4q3ewBCX7sLwd24euuV69X",71
"68","album","2018-12-23",2018,0.759,0.536,9,0.173,0.439,119.883,"2OWVCFTolecLiGZPquvWvT","Bad Bunny",208079,"Estamos Bien",14,"X 100PRE","minor","A minor","4q3ewBCX7sLwd24euuV69X",76
"69","album","2018-12-23",2018,0.816,0.538,6,0.0617,0.156,97.054,"3gE4eQH3K83Sght0ZLvuBK","Bad Bunny;Drake",210367,"MIA",15,"X 100PRE","minor","F# minor","4q3ewBCX7sLwd24euuV69X;3TVXtAsR1Inumwj472S9r4",64
"70","single","2021-10-05",2021,0.639,0.703,4,0.0794,0.138,169.888,"4gzsuuZypVbxs0Af1LSZyB","Tainy;Bad Bunny;Julieta Venegas",207301,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",1,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)","minor","E minor","0GM7qgcRCORpGnfcN2tCiB;4q3ewBCX7sLwd24euuV69X;2QWIScpFDNxmS6ZEMIUvgm",93
"71","single","2021-08-03",2021,0.725,0.86,1,0.182,0.791,175.896,"2vmfvSoZBFAt9hhRoEByLi","Aventura;Bad Bunny",230125,"Volví",1,"Volví","major","C# major","1qto4hHid1P71emI6Fd8xi;4q3ewBCX7sLwd24euuV69X",92
"72","single","2021-07-08",2021,0.659,0.688,6,0.0673,0.632,153.979,"0G2zPzWqVjR68iNPmx2TBe","Mora;Bad Bunny;Sech",273474,"Volando - Remix",1,"Volando (Remix)","major","F# major","0Q8NcsJwoCbZOHHW63su5S;4q3ewBCX7sLwd24euuV69X;77ziqFxp5gaInVrF2lj4ht",90
"73","single","2021-07-06",2021,0.592,0.494,4,0.0747,0.231,132.037,"267NGliXM8YLVZiKAD9Otm","Bad Bunny",209770,"De Museo",1,"De Museo","minor","E minor","4q3ewBCX7sLwd24euuV69X",76
"74","single","2021-06-24",2021,0.743,0.655,6,0.159,0.785,172.031,"05bfbizlM5AX6Mf1RRyMho","Nio Garcia;J Balvin;Bad Bunny",261334,"AM Remix",1,"AM Remix","minor","F# minor","5hdhHgpxyniooUiQVaPxQ0;1vyhD5VmyZ7KMfW5gqLgo5;4q3ewBCX7sLwd24euuV69X",88
"75","single","2021-06-04",2021,0.644,0.648,1,0.118,0.44,179.951,"2JPLbjOn0wPCngEot2STUS","Bad Bunny",206710,"Yonaguni",1,"Yonaguni","major","C# major","4q3ewBCX7sLwd24euuV69X",94
"76","single","2021-05-28",2021,0.808,0.559,1,0.452,0.48,169.103,"4Ixc50wY5pbUvNEogTQ2wL","Bad Bunny;Luar La L",237459,"100 MILLONES",1,"100 MILLONES","major","C# major","4q3ewBCX7sLwd24euuV69X;4axKuDPr6WKcDCyh8vueTY",69
"77","single","2020-10-30",2020,0.731,0.573,4,0.0544,0.145,109.928,"47EiUVwUp4C9fGccaPuUCS","Bad Bunny;Jhay Cortez",205090,"DÁKITI",1,"DÁKITI","minor","E minor","4q3ewBCX7sLwd24euuV69X;0EFisYRi20PTADoJrifHrz",86
"78","single","2020-10-14",2020,0.845,0.733,11,0.0581,0.394,97.01,"2cpteAYHcd4cjSxAeCkA52","Bad Bunny;Nesi;Ivy Queen",174027,"Yo Perreo Sola - Remix",1,"Yo Perreo Sola (Remix)","major","B major","4q3ewBCX7sLwd24euuV69X;0f6U482Lbo91QNqNFH4Tat;6p2442ymrT9lZEuCZJdYcH",66
"79","single","2020-07-24",2020,0.571,0.693,6,0.0545,0.393,168.169,"0EhpEsp4L0oRGM0vmeaN5e","J Balvin;Dua Lipa;Bad Bunny;Tainy",232253,"UN DIA (ONE DAY) (Feat. Tainy)",1,"UN DIA (ONE DAY) (Feat. Tainy)","minor","F# minor","1vyhD5VmyZ7KMfW5gqLgo5;6M2wZ9GZgrQXHCFfjv46we;4q3ewBCX7sLwd24euuV69X;0GM7qgcRCORpGnfcN2tCiB",81
"80","single","2020-05-09",2020,0.807,0.606,3,0.088,0.304,92.988,"2tFwfmceQa1Y6nRPhYbEtC","Jhay Cortez;Bad Bunny",227520,"CÓMO SE SIENTE - Remix",1,"CÓMO SE SIENTE (Remix)","minor","D# minor","0EFisYRi20PTADoJrifHrz;4q3ewBCX7sLwd24euuV69X",82
"81","single","2020-02-14",2020,0.85,0.536,1,0.0599,0.505,96.029,"3wYRLYuO1M88d8woWUIxct","Bad Bunny;Sech",210606,"Ignorantes",1,"Ignorantes","major","C# major","4q3ewBCX7sLwd24euuV69X;77ziqFxp5gaInVrF2lj4ht",76
"82","single","2020-02-07",2020,0.877,0.529,0,0.0461,0.422,104.984,"6RbH4isVKIOg1OY1HvRqFc","PARTYNEXTDOOR;Drake;Bad Bunny",281119,"LOYAL (feat. Drake and Bad Bunny) - Remix",1,"LOYAL (feat. Drake and Bad Bunny) [Remix]","minor","C minor","2HPaUgqeutzr3jx5a9WyDV;3TVXtAsR1Inumwj472S9r4;4q3ewBCX7sLwd24euuV69X",62
"83","single","2020-02-07",2020,0.89,0.518,0,0.0478,0.438,104.984,"50fEBd3Qs2TMyDJYzsSP40","PARTYNEXTDOOR;Drake;Bad Bunny",281119,"LOYAL (feat. Drake and Bad Bunny) - Remix",1,"LOYAL (feat. Drake and Bad Bunny) [Remix]","minor","C minor","2HPaUgqeutzr3jx5a9WyDV;3TVXtAsR1Inumwj472S9r4;4q3ewBCX7sLwd24euuV69X",24
"84","single","2019-11-21",2019,0.886,0.672,1,0.188,0.526,91.976,"5DxXgozhkPLgrbKFY91w0c","Bad Bunny",192024,"Vete",1,"Vete","major","C# major","4q3ewBCX7sLwd24euuV69X",81
"85","single","2019-11-12",2019,0.708,0.795,1,0.116,0.731,95.039,"7MkFd0UDHlILDrhBjGZH5K","Ricky Martin;Residente;Bad Bunny",218996,"Cántalo",1,"Cántalo","major","C# major","7slfeZO9LsJbWgpkIoXBUJ;5GcWBUX00IPuWVGMIRK1sS;4q3ewBCX7sLwd24euuV69X",56
"86","single","2019-10-25",2019,0.681,0.686,9,0.0462,0.961,109.191,"7pNAvsuTCFaXzSSUmfBPxz","Natanael Cano;Bad Bunny",193621,"Soy El Diablo - Remix",1,"Soy El Diablo (Remix)","minor","A minor","0elWFr7TW8piilVRYJUe4P;4q3ewBCX7sLwd24euuV69X",68
"87","single","2019-08-21",2019,0.809,0.653,6,0.29,0.73,129.798,"4yZI69ElgxddAUGNJjzc0j","Omy de Oro;Bad Bunny;Shootter Ledo",266091,"Subimos de Rango",1,"Subimos de Rango","minor","F# minor","65jIUih0ZeTUJhSTRuYxpi;4q3ewBCX7sLwd24euuV69X;2e5kXDvESsDPMyuQZ0qouH",60
