"","album_type","album_release_date","album_release_year","danceability","energy","key","speechiness","valence","tempo","track_id","artists","duration_ms","track_name","album_name","mode_name","key_mode","artist_ids","track_popularity"
"300","single","2018-10-05",2018,0.732,0.758,11,0.189,0.78,98.007,"1usoXi4f0BnMART4uActEA","Lalo Ebratt;J Balvin;Trapical",202876,"Mocca - Remix","Mocca (Remix)","major","B major","1GAymyGBvB4gQy5Z5LZ1Wj;1vyhD5VmyZ7KMfW5gqLgo5;1akovilveREPmx1E535jJU",61
"301","single","2018-09-14",2018,0.84,0.903,4,0.227,0.798,94.998,"6ClrUcM3YpKlJhihx94Oel","Chyno Miranda;J Balvin",192293,"El Peor","El Peor","major","E major","1VrWc8r4AjrR8YfT0vlsc7;1vyhD5VmyZ7KMfW5gqLgo5",41
"302","single","2018-09-07",2018,0.837,0.847,4,0.0982,0.73,90.996,"1d1mZ7F4VI0hkkie2jE4yq","De La Ghetto;J Balvin",206560,"Caliente (feat. J Balvin)","Caliente (feat. J Balvin)","major","E major","3EiLUeyEcA6fbRPSHkG5kb;1vyhD5VmyZ7KMfW5gqLgo5",49
"303","single","2018-09-06",2018,0.857,0.772,10,0.195,0.589,94.03,"28O1p0bQXH2F6Qn8jBZZR4","Rvssian;Farruko;J Balvin",164764,"Ponle","Ponle","minor","A# minor","1fctva4kpRbg2k3v7kwRuS;329e4yvIujISKGKz1BZZbO;1vyhD5VmyZ7KMfW5gqLgo5",71
"304","single","2018-08-03",2018,0.783,0.93,9,0.0588,0.851,127.981,"4JlwKFHsi0UXCKhTRbPaNY","MC Fioti;Future;J Balvin",227369,"Bum Bum Tam Tam - Kura Remix","Bum Bum Tam Tam (Kura Remix)","major","A major","2W6kbe0nm96COrHzNmfLLd;1RyvyyTE3xzB2ZywiAwp0i;1vyhD5VmyZ7KMfW5gqLgo5",5
"305","single","2018-08-03",2018,0.783,0.93,9,0.0588,0.851,127.981,"0bh8aThWfgUa0qu2dOVwyM","MC Fioti;Future;J Balvin;Kura",227369,"Bum Bum Tam Tam - Kura Remix","Bum Bum Tam Tam (Kura Remix)","major","A major","2W6kbe0nm96COrHzNmfLLd;1RyvyyTE3xzB2ZywiAwp0i;1vyhD5VmyZ7KMfW5gqLgo5;3NwcP2GO2sZZS2BVvWcc9T",24
"306","single","2018-07-13",2018,0.815,0.784,9,0.0738,0.832,162.958,"38QmUDpkoYlNbMKvpvAsrE","KAROL G;J Balvin;Nicky Jam",196320,"Mi Cama - Remix","Mi Cama (Remix)","major","A major","790FomKkXshlbRYZFtlgla;1vyhD5VmyZ7KMfW5gqLgo5;1SupJlEpv7RS2tPNRaHViT",65
"307","single","2018-06-29",2018,0.663,0.696,9,0.103,0.738,180.113,"6JjPBQfI2Y8nIjnm65X6Pw","Nicky Jam;J Balvin;Maluma;Ozuna",235746,"X (feat. Maluma & Ozuna) - Remix","X (feat. Maluma & Ozuna) [Remix]","minor","A minor","1SupJlEpv7RS2tPNRaHViT;1vyhD5VmyZ7KMfW5gqLgo5;1r4hJ1h58CWwUQe3MxPuau;1i8SpTcr7yvPOmcqrbnVXY",71
"308","single","2018-06-22",2018,0.731,0.854,5,0.149,0.651,150.163,"6WK7h2WfMmnX7zOZnfzoYo","Cardi B;Bad Bunny;J Balvin;Dillon Francis",219200,"I Like It - Dillon Francis Remix","I Like It","minor","F minor","4kYSro6naA4h99UJvo89HB;4q3ewBCX7sLwd24euuV69X;1vyhD5VmyZ7KMfW5gqLgo5;5R3Hr2cnCCjt220Jmt2xLf",58
"309","single","2018-06-22",2018,0.816,0.726,5,0.129,0.65,136.048,"285jK9VYQKmijjcrjD4CRa","Cardi B;Bad Bunny;J Balvin",253390,"I Like It","I Like It","minor","F minor","4kYSro6naA4h99UJvo89HB;4q3ewBCX7sLwd24euuV69X;1vyhD5VmyZ7KMfW5gqLgo5",51
