"","id","name","popularity","followers.total","genres","type","total_num_songs"
"126","4MzJMcHQBl9SIYSjwWn8QW","Spiritbox",66,197133,"canadian metalcore","billboard",94
"127","74ASZWbe4lXaubB36ztrGX","Bob Dylan",75,5326227,"classic rock;country rock;folk;folk rock;mellow gold;rock;roots rock;singer-songwriter","billboard",769
"128","5P5FTygHyx2G57oszR3Wot","Daughtry",69,1705006,"alternative metal;neo mellow;pop rock;post-grunge","billboard",228
"129","4AA474G2hRfrHyGrfyDseO","Mozzy",76,553230,"cali rap;pop rap;sacramento hip hop;trap","billboard",798
"130","7lzordPuZEXxwt9aoVZYmG","Billy Idol",71,1287808,"album rock;classic rock;dance rock;hard rock;mellow gold;new romantic;new wave;new wave pop;rock;soft rock","billboard",250
"131","4QQgXkCYTt3BlENzhyNETg","Earth, Wind & Fire",78,3158276,"disco;funk;jazz funk;motown;quiet storm;soul","billboard",530
"132","3Dzj993UEz8Z5ovxuirzFO","Lindsey Buckingham",55,90167,"album rock;art rock;mellow gold;new wave pop;soft rock","billboard",167
"133","56oDRnqbIiwx4mymNEv7dS","Lizzo",78,4160170,"dance pop;escape room;minnesota hip hop;pop;trap queen","billboard",102
"134","4LLpKhyESsyAXpc4laK94U","Mac Miller",88,6487204,"hip hop;pittsburgh rap;rap","billboard",209
"135","3klZnJvYGIbWritVwQD434","Duncan Laurence",74,339750,"dutch pop","billboard",75
"136","5lhaM01nwvsMZpmPY2HVER","Carcass",52,267151,"alternative metal;british death metal;british grindcore;brutal death metal;death 'n' roll;death metal;deathgrind;goregrind;hard rock;metal","billboard",139
"137","4sIl4BTo9l9KqEi0Y3RE72","Carly Pearce",68,206539,"contemporary country;country;country pop","billboard",83
"138","0fA0VVWsXO9YnASrzqfmYu","Kid Cudi",85,5201530,"hip hop;ohio hip hop;pop rap;rap","billboard",358
"139","5SXuuuRpukkTvsLuUknva1","Baby Keem",83,503178,"hip hop;rap","billboard",87
"140","68KmkJeZGfwe1OUaivBa2L","ATEEZ",75,1837350,"k-pop;k-pop boy group","billboard",133
"141","5L1lO4eRHmJ7a0Q6csE5cT","LISA",84,1162268,"k-pop","billboard",8
"142","6Rx1JKzBrSzoKQtmbVmBnM","Hayley Williams",69,462482,"art pop;indie pop","billboard",38
