"","id","name","popularity","followers.total","genres","type","total_num_songs","main_genre","degree","betweenness","eigenvector"
"5572","3eH2apcLhzhnr3eWmH3VBf","Felguk",60,130240,"brazilian bass;brazilian edm;complextro;electro house;melbourne bounce","non_billboard",0,"edm, techno, house",4,21591.2045894233,0.00806097682647322
"5573","2zJ8chFLjiBHRNchfevMRI","SNBRN",59,94338,"bass house;edm;electro house;house;pop dance;pop edm;progressive house;tropical house;vapor twitch","non_billboard",0,"edm, techno, house",3,9528.58699006096,0.00302038628928129
"5574","4QGC11o7gQR7MBEJ5cUMSv","Mindy Smith",41,20177,"acoustic pop;folk;lilith","non_billboard",0,"pop",1,0,2.8080955844425e-05
"5575","31D5V6e2aDWmwRf7cbhLX0","Mac McAnally",32,547,"0","non_billboard",0,"other",1,0,2.80809558444252e-05
"5576","13vQloYd6mP7V1mVwKJwS2","Dave Matthews",55,302702,"pop rock","non_billboard",0,"rock",3,1901.8568520862,3.13964836148983e-05
"5577","39NpvJulPofgF7z0BYDB56","Elan Atias",27,780,"0","non_billboard",0,"other",1,0,2.8080955844425e-05
"5578","6uSKeCyQEhvPC2NODgiqFE","The Wailers",62,408966,"dub;reggae;rock steady;roots reggae;ska","non_billboard",0,"rock",2,3775.81042545742,0.00053251310468391
"5579","2DnqqkzzDKm3vAoyHtn8So","Uncle Kracker",66,536731,"country;country road;pop rock","non_billboard",0,"country",1,0,2.80809558444252e-05
"5580","2BQVRw9md4UKcGUrDXABCD","Tracy Lawrence",62,755884,"arkansas country;contemporary country;country;country road;country rock","non_billboard",0,"country",3,764.00495849705,0.000209099782695385
"5581","2hpwTpq2QENZv7EAvniKDR","Joey DeFrancesco",38,14594,"jazz organ;soul jazz","non_billboard",0,"jazz, soul, r&b",2,3696.06950220373,1.32849767647429e-05
"5582","774mHr909NkDVeyyXQBQfZ","James Galway",47,19358,"classical flute","non_billboard",0,"other",1,0,1.29074325022767e-05
"5583","0vqkz1b2qBkoYrGMj2CUWq","Bobby Womack",62,554827,"classic soul;disco;funk;motown;quiet storm;soul;southern soul","non_billboard",0,"jazz, soul, r&b",2,3019.27691292386,0.000610331555244502
"5584","3g4Os4LNZvOQUaokeSLCwG","P.J. Proby",30,11737,"merseybeat;rock-and-roll","non_billboard",0,"rock",1,0,1.29074325022766e-05
"5585","5SgJJjUoAEgjbjmE7ohuaK","Clare Teal",33,4909,"audiophile vocal;contemporary vocal jazz","non_billboard",0,"jazz, soul, r&b",1,0,1.29074325022764e-05
"5586","1zxmHkQCUfZYDjwV6MYjZN","Mick Hucknall",40,9276,"british soul","non_billboard",0,"jazz, soul, r&b",3,41556.1334288295,0.000111214462873692
"5587","5rWKAmlxinr3muqedXVIHa","Georgie Fame",36,12246,"british blues;british invasion;jazz organ;merseybeat","non_billboard",0,"jazz, soul, r&b",2,222.168406204772,2.56798888117513e-05
"5588","3kZ87yoF7d0FcRKAqQw6M0","Shana Morrison",14,537,"0","non_billboard",0,"other",1,0,1.29074325022765e-05
"5589","0xUA9sZvM1DBVySSvUaHtu","Chris Farlowe",33,8806,"british blues;british invasion;freakbeat;merseybeat","non_billboard",0,"other",1,0,1.29074325022765e-05
"5590","1aTDTChWWyiJH3SEnYrdVp","Taj Mahal",57,156047,"acoustic blues;blues;blues rock;classic rock;country blues;country rock;folk;folk rock;funk;harmonica blues;jazz blues;modern blues;roots rock;soul;traditional blues","non_billboard",0,"country",1,0,1.29074325022765e-05
"5591","4FVlx0LkBCw52txBL8QVDl","Ben Sidran",32,6214,"0","non_billboard",0,"other",1,0,1.29074325022766e-05
"5592","0sN4enVJwylJKEXZlSbgsm","Mose Allison",45,22973,"cool jazz;jazz;jazz blues;jazz piano;soul;soul jazz;stride;vocal jazz","non_billboard",0,"jazz, soul, r&b",1,0,1.29074325022766e-05
"5593","6AnrSlk5Gp1YMXgaI3mWCL","The Chieftains",52,79181,"celtic;irish folk","non_billboard",0,"other",3,6045.6176407152,0.000119553346631187
"5594","6Kh10Ps2cLVqOHqCkeqOBh","Brooks Arthur",30,29,"0","non_billboard",0,"other",1,0,1.29074325022766e-05
"5595","6exIfeQtAxsalOomszs4KO","Slowhand & Van",42,1443,"0","non_billboard",0,"other",2,0,0.000106827024095853
"5596","40ELTAg7Kg6vbWnlyx2n9R","Lewis Watson",52,176380,"indie anthem-folk;indie folk;indiecoustica;oxford indie","non_billboard",0,"other",1,0,3.40234465607585e-06
"5597","06knYh538h5SI7OAEF8ek3","Georgia",56,53567,"electropop;uk alternative pop","non_billboard",0,"pop",2,5024.8170633932,0.000600826467398303
"5598","2S2mt1DiA4QKdKvtqwxrbB","Jackboy",62,269338,"florida rap;southern hip hop;trap","non_billboard",0,"hip hop, rap",6,1505.78878429906,0.021910271876421
"5599","5cNn5kF2qKIOtBQJ2z4FM3","Dee Watkins",56,137287,"florida rap;pop rap;trap;vapor trap","non_billboard",0,"pop",2,142.4954584661,0.00462500889938133
"5600","3gIWD9hK0VEhgsSrLu19PU","YN Jay",59,58462,"flint hip hop;viral rap","non_billboard",0,"hip hop, rap",2,247.592586698511,0.00538630806052653
"5601","4wpwsRGyik5kVa8fG37Q50","BigKayBeezy",55,37988,"chicago rap;philly drill","non_billboard",0,"hip hop, rap",1,0,0.000197293454830473
"5602","1OFOShsIbhy1l5x73yuVyB","Shenseea",62,302184,"dancehall;modern reggae","non_billboard",0,"other",7,13925.3910429791,0.029098549502086
"5603","44LPOpECjnIlnwH91wo2ir","All Sons & Daughters",57,219349,"anthem worship;ccm;christian music;christian uplift;indiecoustica;roots worship;world worship;worship","non_billboard",0,"other",3,1546.9807109581,3.65946646006897e-05
"5604","3PlRvQnVE3XAbtHUNc4nic","GATTÜSO",65,28163,"edm;electro house;pop dance;pop edm;tropical house","non_billboard",0,"edm, techno, house",6,32998.4452599411,0.0126281414646011
"5605","08Uextujt6ZT2iQmSYAJfH","AHI",54,12571,"canadian folk","non_billboard",0,"other",1,0,5.69258658143648e-06
"5606","5XBb04uBpKPWPWC2jXgGqb","LLusion",59,230480,"lo-fi beats;sad lo-fi","non_billboard",0,"other",1,0,0.00157304346617669
