"","id","name","popularity","followers.total","genres","type","total_num_songs"
"95","2oZcMYiKpjaA2Et5mU3RPP","Chronixx",66,399938,"dancehall;modern reggae","non_billboard",NA
"96","1gWjcmBsveEYMxOZ0VRi32","Koffee",64,508628,"dancehall;modern reggae","non_billboard",NA
"97","4WFtYn5RyU8VGPpPyW9Pxw","M-22",59,69713,"dance pop;deep groove house;deep house;edm;house;pop dance;pop edm;tropical house","non_billboard",NA
"98","6t1gpxYbY8OlLA7D2RiikQ","Loud Luxury",72,499221,"dance pop;edm;electro house;pop;pop dance;tropical house","non_billboard",NA
"99","1HBjj22wzbscIZ9sEb5dyf","Jonas Blue",79,3441421,"dance pop;edm;pop;pop dance;tropical house;uk dance","non_billboard",NA
"100","1ikID9RZZMvkuBGDWrqajq","Kasbo",59,135194,"edm;electropop;future bass;indie electropop;indie poptimism;pop edm;swedish electropop;tropical house;vapor soul;vapor twitch","non_billboard",NA
"101","1IELhvOMg5VQlU7syRm6CS","CAZZETTE",55,330887,"complextro;edm;electro house;pop dance;pop edm;progressive electro house;progressive house;tropical house","non_billboard",NA
"102","6lB8vOoI4DRrrVxXwuV19c","Mike Perry",70,1284186,"dance pop;edm;electro house;pop;pop dance;pop edm;swedish tropical house;tropical house","non_billboard",NA
"103","5AbLpsnTQVNB3OEadYiVrK","Yxng Bane",68,371201,"afroswing;uk dancehall;uk hip hop","non_billboard",NA
"104","6mPZJXtFVaakznkRxdgWtC","Throttle",60,80451,NA,"non_billboard",NA
"105","4ehtJnVumNf6xzSCDk8aLB","Martin Jensen",73,1189065,"dance pop;danish electronic;deep house;edm;electro house;pop;pop dance;pop edm;tropical house","non_billboard",NA
"106","2jBa39W2cucJozDpEBtCXu","Lennox",52,2117,NA,"non_billboard",NA
"107","1pgDilWYDWLoOgGjf1iHNu","Zion",76,2667947,"latin;latin hip hop;reggaeton;reggaeton flow;trap latino","non_billboard",NA
"108","4VZY0nxYMSNotbS7WjNVQy","Nyla",61,4365,NA,"non_billboard",NA
"109","1LKo6ZA3RNvKtLa6zDu32S","Kranium",63,151450,"basshall;dancehall","non_billboard",NA
"110","4bL2B6hmLlMWnUEZnorEtG","Felix Jaehn",78,1161153,"dance pop;edm;electro house;german dance;pop;pop dance;tropical house","non_billboard",NA
"111","4WN5naL3ofxrVBgFpguzKo","Rudimental",73,1308412,"dance pop;edm;house;pop;pop dance;tropical house;uk dance;uk funky","non_billboard",NA
"112","1rSGNXhhYuWoq9BEz5DZGO","ARTY",63,167777,"big room;edm;electro house;pop dance;pop edm;progressive electro house;progressive house;progressive trance;russian edm;trance;tropical house;uplifting trance","non_billboard",NA
"113","1mrrvBvbrm28iYaPlJ9mG5","Alex Adair",53,39001,"deep groove house;house;tropical house","non_billboard",NA
"114","1l2ekx5skC4gJH8djERwh1","Don Diablo",73,1771316,"dance pop;edm;electro house;future house;house;pop dance;progressive electro house;tropical house","non_billboard",NA
"115","3JSkpH09P1h2IQKFeBawfL","Xambassadors",17,329,NA,"non_billboard",NA
"116","4LXBc13z5EWsc5N32bLxfH","Nekfeu",76,1987786,"french hip hop;pop urbaine;rap conscient","non_billboard",NA
"117","1WWT4mBMw1S2OTXF1HfKoe","Mic Righteous",43,25767,"grime","non_billboard",NA
"118","72CJu74on68a9sLgD0vj2O","True Tiger",26,2945,"instrumental grime","non_billboard",NA
"119","1k78cRCnTM3T7EhvhVeaKX","Xilent",38,52107,"complextro;dubstep;electro house;filthstep;gaming dubstep;gaming edm;melodic dubstep;neurostep","non_billboard",NA
"120","20twLKFb2Nhd8duUH0k2DJ","Jake Gosling",30,886,NA,"non_billboard",NA
"121","7F6nxkPQrlh4qWDetjgnpX","The Prototypes",50,59818,"drum and bass;jump up;liquid funk","non_billboard",NA
"122","0tgjwsn1Lpjj8kKEvWm0KQ","Doctor P",51,230314,"brostep;complextro;dubstep;edm;electro house;electronic trap;filthstep;gaming dubstep;moombahton","non_billboard",NA
"123","2TdPVIB0o6UlXQMNhXzy4O","Jef Martens",16,20,NA,"non_billboard",NA
"124","4vUAD0POkGvO6J9c9hv6qR","Lazy Jay",56,12451,"belgian edm","non_billboard",NA
"125","50Guur5t8ptUNwQE6QOi4Y","Anthony Peters",7,26,NA,"non_billboard",NA
"126","0umDTRGYujQH31KZq9FdrU","Loadstar",43,33746,"drum and bass;jump up","non_billboard",NA
"127","0fFweLcIeIh0d6rlziE9BE","Gemini",14,584,NA,"non_billboard",NA
"128","5oDtp2FC8VqBjTx1aT4P5j","SHY FX",62,140763,"bass house;drum and bass;house;jungle;uk alternative hip hop;uk dnb","non_billboard",NA
